sneaker_name,brand,sneaker_image,retail_price,url
Jordan 1 Retro Low OG Year of the Dragon (2024),Jordan,https://images.stockx.com/360/Air-Jordan-1-Retro-Low-OG-Year-of-the-Dragon-2024/Images/Air-Jordan-1-Retro-Low-OG-Year-of-the-Dragon-2024/Lv2/img01.jpg?auto=compress&w=576&dpr=2&updated_at=1706714119&h=384&fm=webp&q=60,$160.00,https://stockx.com/air-jordan-1-retro-low-og-year-of-the-dragon-2024
Jordan 1 Retro High Shadow 2.0,Jordan,https://images.stockx.com/360/Air-Jordan-1-Retro-High-Black-White-Light-Smoke-Grey/Images/Air-Jordan-1-Retro-High-Black-White-Light-Smoke-Grey/Lv2/img01.jpg?auto=compress&w=576&dpr=2&updated_at=1634929276&h=384&fm=webp&q=60,$170.00,https://stockx.com/air-jordan-1-retro-high-black-white-light-smoke-grey
Jordan 1 Retro High Pollen,Jordan,https://images.stockx.com/360/Air-Jordan-1-Retro-High-Pollen/Images/Air-Jordan-1-Retro-High-Pollen/Lv2/img01.jpg?auto=compress&w=576&dpr=2&updated_at=1635282407&h=384&fm=avif&q=60,$170.00,https://stockx.com/air-jordan-1-retro-high-pollen
Jordan 1 Retro High OG Bordeaux,Jordan,https://images.stockx.com/360/Air-Jordan-1-Retro-High-Bordeaux/Images/Air-Jordan-1-Retro-High-Bordeaux/Lv2/img01.jpg?auto=compress&w=576&dpr=2&updated_at=1636996253&h=384&fm=avif&q=60,$170.00,https://stockx.com/air-jordan-1-retro-high-bordeaux
Jordan 1 Retro High OG Brotherhood,Jordan,https://images.stockx.com/360/Air-Jordan-1-Retro-High-OG-Brotherhood/Images/Air-Jordan-1-Retro-High-OG-Brotherhood/Lv2/img01.jpg?auto=compress&w=576&dpr=2&updated_at=1645431701&h=384&fm=avif&q=60,$170.00,https://stockx.com/air-jordan-1-retro-high-og-brotherhood
Jordan 1 Retro High OG Atmosphere (Womens),Jordan,https://images.stockx.com/360/Air-Jordan-1-Retro-High-OG-Atmosphere-W/Images/Air-Jordan-1-Retro-High-OG-Atmosphere-W/Lv2/img01.jpg?auto=compress&w=576&dpr=2&updated_at=1637014167&h=384&fm=webp&q=60,$170.00,https://stockx.com/air-jordan-1-retro-high-og-atmosphere-w
Jordan 1 Retro High OG Artisanal Team Red,Jordan,https://images.stockx.com/360/Air-Jordan-1-Retro-High-OG-Team-Red/Images/Air-Jordan-1-Retro-High-OG-Team-Red/Lv2/img01.jpg?auto=compress&w=576&dpr=2&updated_at=1712607646&h=384&fm=avif&q=60,$180.00,https://stockx.com/air-jordan-1-retro-high-og-team-red
Jordan 1 Retro High OG Craft Vibrations Of Naija,Jordan,https://images.stockx.com/360/Air-Jordan-1-Retro-High-OG-Craft-Vibrations-Of-Naija/Images/Air-Jordan-1-Retro-High-OG-Craft-Vibrations-Of-Naija/Lv2/img01.jpg?auto=compress&w=576&dpr=2&updated_at=1684958234&h=384&fm=avif&q=60,$180.00,https://stockx.com/air-jordan-1-retro-high-og-craft-vibrations-of-naija
Jordan 1 Retro High OG Denim,Jordan,https://images.stockx.com/360/Air-Jordan-1-Retro-High-OG-Denim/Images/Air-Jordan-1-Retro-High-OG-Denim/Lv2/img01.jpg?auto=compress&w=576&dpr=2&updated_at=1718047277&h=384&fm=avif&q=60,$180.00,https://stockx.com/air-jordan-1-retro-high-og-denim
Jordan 1 Retro High OG Lucky Green,Jordan,https://images.stockx.com/360/Air-Jordan-1-Retro-High-OG-Lucky-Green/Images/Air-Jordan-1-Retro-High-OG-Lucky-Green/Lv2/img01.jpg?auto=compress&w=576&dpr=2&updated_at=1681154580&h=384&fm=avif&q=60,$180.00,https://stockx.com/air-jordan-1-retro-high-og-lucky-green
